index,x,y
427,628113.85204,-669139.068893
428,628108.335014,-669115.086719
429,628103.300806,-669091.061024
430,628098.728029,-669067.001516
431,628094.25881,-669042.972304
432,628090.774568,-669018.820152
433,628087.692329,-668994.652576
434,628084.98947,-668970.466112
435,628082.643167,-668946.254301
436,628080.627823,-668922.010744
437,628078.908244,-668897.728218
438,628077.44726,-668873.397495
439,628076.300714,-668849.007768
440,628075.555901,-668824.554859
441,628075.086147,-668800.033326
442,628074.831527,-668775.432745
443,628074.911818,-668750.754079
444,628075.37215,-668726.000963
445,628076.257702,-668701.181296
446,628077.613533,-668676.307044
447,628079.484427,-668651.394039
448,628081.914721,-668626.461771
449,628085.608347,-668601.661565
450,628089.337442,-668576.784874
451,628093.493165,-668551.908797
452,628098.352704,-668527.110092
453,628103.926969,-668502.414592
454,628110.198052,-668477.840907
455,628117.14666,-668453.406184
456,628124.753035,-668429.126323
457,628132.99489,-668405.015316
458,628141.828341,-668381.078537
459,628152.563581,-668357.80541
460,628162.502167,-668334.264275
461,628172.930004,-668310.911725
462,628183.806165,-668287.746162
463,628195.090031,-668264.764073
464,628206.741403,-668241.960164
465,628218.720611,-668219.327488
466,628230.988625,-668196.857579
467,628243.507153,-668174.540592
468,628256.238752,-668152.36544
469,628269.146917,-668130.31993
470,628283.38423,-668109.009954
471,628296.57892,-668087.220823
472,628309.826588,-668065.509195
473,628323.094893,-668043.858721
474,628336.362915,-668022.258421
475,628349.631015,-668000.709302
476,628362.915673,-667979.222925
477,628376.234785,-667957.811001
478,628389.607588,-667936.482919
479,628403.053167,-667915.247855
480,628416.590301,-667894.115371
481,628430.204079,-667873.072787
482,628443.88449,-667852.109311
483,628457.709592,-667831.275703
484,628471.696817,-667810.58322
485,628485.863171,-667790.043614
486,628500.225206,-667769.669144
487,628514.798994,-667749.472588
488,628529.100263,-667729.062555
489,628544.303813,-667709.38468
490,628559.771564,-667689.93932
491,628575.516754,-667670.741821
492,628591.551734,-667651.80789
493,628607.879323,-667633.145598
494,628624.493568,-667614.754985
495,628641.389388,-667596.636343
496,628658.561961,-667578.789648
497,628676.006736,-667561.214557
498,628693.719468,-667543.910408
499,628711.69623,-667526.876218
500,628729.933443,-667510.110685
501,628748.427896,-667493.612188
502,628767.176764,-667477.378787
503,628786.177632,-667461.408228
504,628805.428512,-667445.697944
505,628824.927861,-667430.245056
506,628844.674597,-667415.046376
507,628864.668111,-667400.098406
508,628884.908282,-667385.397332
509,628905.394341,-667370.939818
510,628926.11797,-667356.727918
511,628947.068036,-667342.771507
512,628968.241948,-667329.086488
513,628989.64644,-667315.703412
514,629011.289234,-667302.658986
515,629033.178908,-667289.993253
