,x,y
702,629129.06235,-664076.665165
703,629109.9079,-664061.438768
704,629090.423686,-664046.734685
705,629070.612212,-664032.544916
706,629050.477204,-664018.862245
707,629030.023834,-664005.679593
708,629009.270433,-663992.971017
709,628988.249097,-663980.68609
710,628966.990149,-663968.771697
711,628945.521451,-663957.173784
712,628923.868735,-663945.837626
713,628902.055957,-663934.708035
714,628880.105691,-663923.729475
715,628858.039548,-663912.846062
716,628835.878629,-663902.001462
717,628813.64285,-663891.141167
718,628791.334661,-663880.250442
719,628768.944192,-663869.348085
720,628746.463761,-663858.455403
721,628723.887741,-663847.595391
722,628701.212084,-663836.792699
723,628678.433897,-663826.073443
724,628655.551069,-663815.464905
725,628632.561911,-663804.995159
726,628609.464821,-663794.692627
727,628586.259746,-663784.580992
728,628562.956228,-663774.657235
729,628539.566457,-663764.908543
730,628516.101513,-663755.321692
731,628492.571246,-663745.883154
732,628468.984875,-663736.577403
733,628445.353492,-663727.380645
734,628421.68806,-663718.266112
735,628397.998707,-663709.20602
736,628374.295086,-663700.171436
737,628350.591432,-663691.128228
738,628326.922416,-663682.011376
739,628303.329196,-663672.742871
740,628279.853369,-663663.246068
741,628256.537173,-663653.4469
742,628233.423727,-663643.274583
743,628210.557395,-663632.661941
744,628187.98434,-663621.545298
745,628165.753361,-663609.863953
746,628143.914287,-663597.563693
747,628122.502752,-663584.619677
748,628101.549042,-663571.017505
749,628080.9908,-663556.866742
750,628061.283356,-663541.600231
751,628041.796544,-663526.057265
752,628022.864221,-663509.814985
753,628004.500097,-663492.871365
754,627987.070848,-663474.885182
755,627970.152669,-663456.309531
756,627953.421651,-663437.421517
757,627937.346863,-663417.846978
758,627921.973421,-663397.611346
759,627908.16905,-663376.21495
760,627894.719723,-663354.559543
761,627881.58201,-663332.658733
762,627869.335072,-663310.209711
763,627859.046804,-663286.794559
764,627849.206102,-663263.225421
765,627840.443302,-663239.265232
766,627832.381376,-663215.104476
767,627825.318827,-663190.677989
768,627821.283854,-663165.562477
769,627817.16225,-663140.660665
770,627814.271096,-663115.681892
771,627812.353562,-663090.723777
772,627811.251527,-663065.829875
773,627813.203828,-663040.971884
774,627814.675969,-663016.357733
775,627817.176284,-662991.925595
776,627820.659198,-662967.687763
777,627824.920686,-662943.606662
778,627829.776121,-662919.618243
779,627836.418657,-662895.988968
780,627843.197829,-662872.350146
781,627850.778001,-662848.849168
782,627859.123407,-662825.486916
783,627868.198341,-662802.266494
784,627877.967021,-662779.193042
785,627888.162372,-662756.160624
786,627898.892358,-662733.228969
787,627910.370051,-662710.539184
788,627922.5981,-662688.143173
789,627935.379297,-662665.97374
790,627948.679082,-662644.05025
791,627962.462985,-662622.3934
792,627976.696866,-662601.025331
793,627991.3548,-662579.975464
794,628006.419092,-662559.281568
795,628022.101536,-662539.166142
796,628038.057454,-662519.399149
797,628054.216481,-662499.923517
798,628070.719873,-662480.861196
799,628087.567134,-662462.22054
800,628104.757669,-662444.009509
801,628122.290791,-662426.235587
802,628140.166011,-662408.905987
803,628158.384105,-662392.028758
804,628176.946211,-662375.611955
805,628195.853503,-662359.663253
806,628215.110416,-662344.193899
807,628234.58197,-662329.032189
808,628254.414962,-662314.358226
809,628274.614298,-662300.182735
810,628295.184906,-662286.516614
811,628316.131768,-662273.371023
812,628337.459787,-662260.758085
813,628359.167704,-662248.693744
814,628381.238497,-662237.190823
815,628403.621716,-662226.196077
816,628426.224877,-662215.547914
817,628449.147951,-662205.491312
818,628472.420319,-662196.164413
819,628496.016304,-662187.595591
820,628519.850172,-662179.643482
821,628543.895235,-662172.302264
822,628568.125787,-662165.565357
823,628592.517155,-662159.425551
824,628617.045737,-662153.875116
825,628641.689045,-662148.905905
826,628666.425735,-662144.509464
827,628691.235643,-662140.677139
828,628716.128951,-662137.606315
829,628741.029334,-662134.916235
830,628765.947273,-662132.75793
831,628790.867932,-662131.121181
832,628815.777974,-662129.996126
833,628840.665582,-662129.373372
834,628865.520484,-662129.244089
835,628890.33461,-662129.600451
836,628915.106943,-662130.436508
837,628939.848649,-662131.74582
838,628964.564268,-662133.560021
839,628989.239359,-662136.004653
840,629013.899561,-662138.83702
841,629038.57011,-662141.91636
842,629063.228798,-662145.400171
843,629087.874613,-662149.266918
844,629112.505564,-662153.494958
845,629137.11886,-662158.062562
846,629161.711081,-662162.947925
847,629186.27835,-662168.129186
848,629210.816508,-662173.584444
849,629235.321287,-662179.291767
850,629259.788479,-662185.229218
851,629284.214116,-662191.37486
852,629308.594638,-662197.706778
853,629332.927065,-662204.203092
854,629357.209177,-662210.841973
855,629381.439678,-662217.601657
856,629405.618377,-662224.460462
857,629429.746358,-662231.396802
858,629453.826151,-662238.389203
859,629477.861945,-662245.416315
860,629501.860711,-662252.456974
861,629525.834405,-662259.488054
862,629549.801662,-662266.463733
863,629573.779359,-662273.334068
864,629597.782171,-662280.051553
865,629621.823249,-662286.568584
866,629645.914184,-662292.837413
867,629670.064977,-662298.810122
868,629694.284006,-662304.438587
869,629718.577995,-662309.674442
870,629742.951976,-662314.469051
871,629767.40911,-662318.774458
872,629791.945557,-662322.577943
873,629816.550794,-662325.911177
874,629841.215049,-662328.808724
875,629865.929797,-662331.305261
876,629890.687783,-662333.435606
877,629915.48305,-662335.234741
878,629940.310966,-662336.737843
879,629965.168243,-662337.98031
880,629990.052971,-662338.997788
881,630014.964635,-662339.826196
882,630039.904166,-662340.501364
883,630064.874501,-662341.04689
884,630089.880158,-662341.471774
885,630114.92535,-662341.784239
886,630140.01052,-662341.992669
887,630165.134151,-662342.111258
888,630190.293727,-662342.157393
889,630215.485981,-662342.148331
890,630240.706988,-662342.101184
891,630265.952243,-662342.032942
892,630291.216754,-662341.960492
893,630316.495121,-662341.900639
894,630341.781628,-662341.870128
895,630367.070326,-662341.885657
896,630392.355117,-662341.963904
897,630417.629843,-662342.121543
898,630442.888365,-662342.37526
899,630468.124655,-662342.741775
900,630493.332875,-662343.237857
901,630518.507463,-662343.880343
902,630543.643219,-662344.686153
903,630568.735385,-662345.672307
904,630593.779732,-662346.855943
905,630618.772644,-662348.254328
906,630643.711201,-662349.884879
907,630668.593262,-662351.765175
908,630693.417622,-662353.912097
909,630718.184845,-662356.337741
910,630742.897467,-662359.052544
911,630767.557225,-662362.066708
912,630792.164652,-662365.3899
913,630816.72037,-662369.024349
914,630841.225754,-662372.964325
915,630865.681987,-662377.203642
916,630890.090018,-662381.736061
917,630914.450575,-662386.555304
918,630938.764188,-662391.655052
919,630963.031197,-662397.028956
920,630987.321184,-662402.404166
921,631011.465573,-662408.427514
922,631035.562252,-662414.700709
923,631059.611148,-662421.21773
924,631083.612057,-662427.972536
925,631107.564658,-662434.959063
926,631131.46854,-662442.171236
927,631155.32321,-662449.602962
928,631179.128122,-662457.248136
929,631202.882688,-662465.100641
930,631226.586451,-662473.153919
931,631250.24036,-662481.397488
